Player,Nation,Squad,Stage_Label,Stage_Num,Profile_Class,Profile_Label,classification_certainty,npxG_per90,xAG_per90,prog_carries_per90,pass_completion_pct,aerials_contested_per90,pressures_per90,z_npxG_per90,z_xAG_per90,z_prog_carries_per90,z_pressures_per90,z_pass_completion_pct,z_aerials_contested_per90,min_per90_sum,data_source,data_note,tournament
Rodrigo De Paul,ARG,Argentina,Quarterfinal,5,5,Balanced Contributors,0.6568217609612679,0.05555555555555556,0.23931623931623933,3.632478632478633,81.7258883248731,0.48780487804878053,1.2195121951219514,-0.02683899096884227,2.9887283508950517,0.7248446283827256,-1.2480901474217003,0.22341742726107428,-0.4940772806151122,23.4,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Thiago Almada,ARG,Argentina,Quarterfinal,5,3,Pressing Engines,0.6435951583788525,0.18867924528301888,0.24528301886792456,3.5849056603773586,84.89304812834224,1.7241379310344829,2.2857142857142856,1.4761484851842606,3.078178302550696,0.7031235107304725,-1.0232495578785565,0.5238658274663941,0.801956625198359,10.6,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Giuliano Simeone,ARG,Argentina,Quarterfinal,5,5,Balanced Contributors,0.5766146472895407,0.10280373831775702,0.2429906542056075,3.2242990654205608,75.47169811320755,0,2,0.5066004525138581,3.043812711121488,0.5384758562059585,-1.0835009576907715,-0.3698780046954863,-1.005437597194577,21.4,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Nicolás Domínguez,ARG,Argentina,Quarterfinal,5,5,Balanced Contributors,0.5545392683882829,0.06880733944954129,0.05963302752293578,0.7339449541284403,86.6948257655755,3.5,5,0.12277574154137774,0.29503831776781486,-0.5985831135803588,-0.45086125966251345,0.6947890653906362,2.663572674263083,21.8,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Nahuel Tenaglia,ARG,Argentina,Quarterfinal,5,4,Limited Role Players,0.5353132386458054,0.0676923076923077,0.04923076923076923,1.2923076923076924,72.12765957446808,2.923076923076923,4.153846153846154,0.11018685694791434,0.13909464777232747,-0.34364291974914735,-0.6292980975679194,-0.6871057707490649,2.0587907613854464,32.5,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Giovani Lo Celso,ARG,Argentina,Quarterfinal,5,1,Physical Attackers,0.4654814267762462,0.14814814814814814,0.30246913580246915,1.6049382716049383,78.96907216494846,0.7843137254901962,2.1568627450980395,1.0185459990064127,3.9354741605356445,-0.20090040662317848,-1.050421757793869,-0.03810426924513726,-0.1832504215177904,16.2,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Marcos Senesi,ARG,Argentina,Quarterfinal,5,5,Balanced Contributors,0.42897830839696155,0.06504065040650406,0.016260162601626015,0.975609756097561,76.32653061224491,3.3333333333333335,5,0.08024922751642764,-0.3551785432325528,-0.4882425280730032,-0.45086125966251345,-0.288785457202945,2.4888578994317654,12.3,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Jeremy Doku,BEL,Belgium,Quarterfinal,5,2,Technical Facilitators,0.99999995497548,0.07738095238095238,0.2857142857142857,12.678571428571429,79.13385826771653,0,1.3513513513513513,0.21957318523961072,3.684296700835079,4.85515722476278,-1.220287919426611,-0.022472054887494982,-1.005437597194577,16.8,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Charles De Ketelaere,BEL,Belgium,Quarterfinal,5,3,Pressing Engines,0.9999995788611357,0.3173913043478261,0.2608695652173913,4.695652173913044,75.77889447236181,4.038461538461538,0.3846153846153846,2.9293279545959665,3.3118413372516318,1.2102739921209806,-1.4241531027829104,-0.3407362308716017,3.2280357929488765,23,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Lucas Stassin,BEL,Belgium,Quarterfinal,5,3,Pressing Engines,0.999992129636923,0.3333333333333333,0.1619047619047619,1.2380952380952381,73.99577167019028,1.1764705882352942,1.1764705882352942,3.109315978956923,1.8282274723109002,-0.36839552704177764,-1.2571667571495089,-0.5098898026917686,0.22784316632060278,21,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Romelu Lukaku,BEL,Belgium,Quarterfinal,5,3,Pressing Engines,0.9999918076978708,0.310126582278481,0.12341772151898733,0.9810126582278481,71.0261569416499,2.6315789473684212,0,2.847308095393505,1.251255611350487,-0.48577564261994094,-1.5052607563762768,-0.7915983522379024,1.7532167422472726,31.6,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Matias Fernandez-Pardo,BEL,Belgium,Quarterfinal,5,3,Pressing Engines,0.9999181675628951,0.24576271186440676,0.23728813559322032,3.8983050847457625,72.9641693811075,4,4,2.12062983589558,2.9583243819859866,0.846217067180189,-0.6617411590052661,-0.6077513810887829,3.1877169987570344,11.8,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Kevin De Bruyne,BEL,Belgium,Quarterfinal,5,3,Pressing Engines,0.9998010391826953,0.2698412698412698,0.4232804232804233,2.6984126984126986,75.91973244147158,1.25,1,2.392480557259605,5.746595843639723,0.298363894624569,-1.2943808570335242,-0.3273758243455885,0.3049232140403015,18.9,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Timothy Castagne,BEL,Belgium,Quarterfinal,5,1,Physical Attackers,0.9997731456000398,0.02185792349726776,0.06557377049180327,0.9289617486338797,81.84679958027282,5,20,-0.40729057748442693,0.3840979464604351,-0.5095413205092794,2.7123372304787767,0.2348875126075323,4.236005647744937,18.3,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
